Date,Day,Max Temperature,Min Temperature,Condition
24.3,Paz,14°,-1°,Parlak güneþ ýþýðý
25.3,Pzt,16°,2°,Artan bulutlar
26.3,Sal,12°,2°,Artan bulutlar
27.3,Çar,19°,4°,Daha sýcak
28.3,Per,21°,7°,Bulutlu
29.3,Cum,19°,6°,Kýsmen güneþli
30.3,Cmt,18°,8°,Çok bulutlu
31.3,Paz,21°,8°,Kýsmen güneþli
1.4,Pzt,19°,8°,Bulutlu ve güneþli
2.4,Sal,16°,4°,Çoðunlukla güneþli
3.4,Çar,17°,4°,Çok bulutlu
4.4,Per,16°,4°,Hafif yaðmur
5.4,Cum,16°,4°,Güneþli- parçalý bulutlu arasý
6.4,Cmt,13°,1°,Bulutlu ve güneþli
7.4,Paz,16°,5°,Güneþli- parçalý bulutlu arasý
8.4,Pzt,19°,5°,Bulutlarýn arasýndan ara ara kendini gösteren güneþ
9.4,Sal,18°,6°,Çoðunlukla güneþli
10.4,Çar,19°,6°,Güneþli
11.4,Per,19°,7°,Bol güneþ ýþýðý
12.4,Cum,20°,7°,Güneþli
13.4,Cmt,19°,7°,Yaðmur geçiþleri
14.4,Paz,15°,5°,Hafif yaðmur
15.4,Pzt,15°,4°,Hafif yaðmur
16.4,Sal,16°,5°,Bulutlu ve güneþli
17.4,Çar,16°,8°,Bulutlu
18.4,Per,16°,6°,Bulutlu bir baþlangýcýn ardýndan geri dönen güneþ
19.4,Cum,18°,5°,Bol güneþ ýþýðý
20.4,Cmt,20°,8°,Bulutlu bir baþlangýcýn ardýndan geri dönen güneþ
21.4,Paz,20°,8°,Hafif yaðmur
22.4,Pzt,17°,6°,Yaðmur geçiþleri
23.4,Sal,18°,7°,Saðanak yaðýþ
24.4,Çar,16°,4°,Bulutlu ve güneþli
25.4,Per,15°,3°,Çoðunlukla güneþli
26.4,Cum,16°,4°,Bulutlu
27.4,Cmt,15°,4°,Bulutlu ve güneþli
28.4,Paz,15°,4°,Kýsmen güneþli
29.4,Pzt,16°,5°,Hafif yaðmur
30.4,Sal,17°,9°,Bulutlu
1.5,Çar,21°,8°,Daha sýcak
2.5,Per,20°,8°,Bulutlu ve güneþli
3.5,Cum,22°,8°,Çoðunlukla güneþli
4.5,Cmt,18°,6°,Bol güneþ ýþýðý
5.5,Paz,19°,8°,Bol güneþ ýþýðý
6.5,Pzt,22°,11°,Azalan bulutlar
7.5,Sal,23°,11°,Çoðunlukla güneþli
